GeneSymbol,Category
5_8S_rRNA,rRNA_pseudogene
5S_rRNA,rRNA_pseudogene;rRNA
7SK,misc_RNA
A1BG,protein_coding
A1CF,protein_coding
A26C1B,protein_coding
A2LD1,protein_coding
A2M,protein_coding
A2ML1,protein_coding
A3GALT2,protein_coding
A4GALT,protein_coding
A4GNT,protein_coding
AAAS,protein_coding
AACS,protein_coding
AACSL,transcribed_unprocessed_pseudogene
AADAC,protein_coding
AADACL1,protein_coding
AADACL2,protein_coding
AADACL3,protein_coding
AADACL4,protein_coding
AADAT,protein_coding
AAGAB,protein_coding
AAK1,protein_coding
AAMP,protein_coding
AANAT,protein_coding
AARS,protein_coding
AARS2,protein_coding
AARSD1,protein_coding
AASDH,protein_coding
AASDHPPT,protein_coding
AASS,protein_coding
AATF,NA
AATK,protein_coding
AB015752.1,NA
AB015752.3,lincRNA
AB015752.4,lincRNA
AB019437.56,processed_pseudogene
AB019438.55,NA
AB019438.63,processed_pseudogene
AB019438.66,unprocessed_pseudogene
AB019439.1,NA
AB019439.2,NA
AB019439.3,NA
AB019439.68,processed_pseudogene
AB019440.1,NA
AB019440.30,NA
AB019441.29,processed_pseudogene
ABAT,protein_coding
ABCA1,protein_coding
ABCA10,protein_coding
ABCA11,transcribed_processed_pseudogene
ABCA12,protein_coding
ABCA13,protein_coding
ABCA17P,transcribed_unitary_pseudogene
ABCA2,protein_coding
ABCA3,protein_coding
ABCA4,protein_coding
ABCA5,protein_coding
ABCA6,protein_coding
ABCA7,protein_coding
ABCA8,protein_coding
ABCA9,protein_coding
ABCB1,protein_coding
ABCB10,protein_coding
ABCB11,protein_coding
ABCB4,protein_coding
ABCB5,protein_coding
ABCB6,protein_coding
ABCB7,protein_coding
ABCB8,protein_coding
ABCB9,protein_coding
ABCC1,protein_coding
ABCC10,protein_coding
ABCC11,protein_coding
ABCC12,protein_coding
ABCC13,transcribed_unprocessed_pseudogene
ABCC2,protein_coding
ABCC3,protein_coding
ABCC4,protein_coding
ABCC5,protein_coding
ABCC6,protein_coding
ABCC8,protein_coding
ABCC9,protein_coding
ABCD1,protein_coding
ABCD1P2,unprocessed_pseudogene
ABCD1P4,unprocessed_pseudogene
ABCD2,protein_coding
ABCD3,protein_coding
ABCD4,protein_coding
ABCE1,protein_coding
ABCF1,protein_coding
ABCF2,protein_coding
ABCF3,protein_coding
ABCG1,protein_coding
ABCG2,protein_coding
ABCG4,protein_coding
ABCG5,protein_coding
ABCG8,protein_coding
ABHD1,protein_coding
ABHD10,protein_coding
ABHD11,protein_coding
ABHD12,protein_coding
ABHD12B,protein_coding
ABHD13,protein_coding
ABHD14A,protein_coding
ABHD14B,protein_coding
ABHD15,protein_coding
ABHD2,protein_coding
ABHD3,protein_coding
ABHD4,protein_coding
ABHD5,protein_coding
ABHD6,protein_coding
ABHD8,protein_coding
ABI1,protein_coding
ABI2,protein_coding
ABI3,protein_coding
ABI3BP,protein_coding
ABL1,protein_coding
ABL2,protein_coding
ABLIM1,protein_coding
ABLIM2,protein_coding
ABLIM3,protein_coding
ABO,protein_coding
ABP1,protein_coding
ABR,protein_coding
ABRA,protein_coding
ABT1,protein_coding
ABTB1,protein_coding
ABTB2,protein_coding
AC000003.1,NA
AC000029.1,NA
AC000029.2,NA
AC000032.1,NA
AC000035.3,NA
AC000036.4,antisense
AC000036.5,NA
AC000041.8,unprocessed_pseudogene
AC000059.1,processed_pseudogene
AC000067.1,lincRNA
AC000068.1,NA
AC000068.5,antisense
AC000077.2,processed_pseudogene
AC000078.5,processed_pseudogene
AC000079.1,NA
AC000081.2,processed_pseudogene
AC000086.1,NA
AC000089.3,processed_pseudogene
AC000092.1,misc_RNA
AC000093.3,NA
AC000094.3,processed_pseudogene
AC000095.8,unitary_pseudogene
AC000099.1,antisense
AC000110.1,processed_pseudogene
AC000111.3,antisense
AC000111.4,processed_pseudogene
AC000111.5,processed_pseudogene
AC000111.6,antisense
AC000120.7,sense_overlapping
AC000120.8,protein_coding
AC000123.4,antisense
