unique_old,num_old,unique_new,num_new
10p15.1,amp_inter1,10p15.1,amp_inter1
10q26.13,amp_inter2,10q26.13,amp_inter2
11p13,amp_inter3,11p13,amp_inter3
12p13.33,amp_inter4,12p13.33,amp_inter4
13q34,amp_inter5,13q34,amp_inter5
15q26.2,amp_inter6,15q26.3,amp_inter6
1p12,amp_inter7,1p12,amp_inter7
1q21.3,amp_inter8,1q21.3,amp_inter8
1q43,amp_inter9,1q43,amp_inter9
20q13.33,amp_inter10,20q13.33,amp_inter10
3p25.1,amp_inter11,3p25.2,amp_inter11
3q26.31,amp_inter12,3q26.31,amp_inter12
4q12,amp_inter13,4q12,amp_inter13
5p15.2,amp_inter14,5p15.2,amp_inter14
6p22.3,amp_inter15,6p22.3,amp_inter15
6q21,amp_inter16,6q21,amp_inter16
6q23.3,amp_inter17,6q23.3,amp_inter17
7p11.2,amp_inter18,7p11.2,amp_inter18
8p11.23,amp_inter19,8p11.23,amp_inter19
8q23.3,amp_inter20,8q23.3,amp_inter20
8q24.21,amp_inter21,8q24.21,amp_inter21
9p23,amp_inter22,9p23,amp_inter22
10q11.21,amp_old1,10p15.1,amp_new_1
11q13.3,amp_inter23,11q13.2,amp_inter23
16p13.3,amp_old3,16q24.3,amp_new_3
17q12,amp_old4,17q25.1,amp_inter24
17q24.3,amp_inter24,19p13.2,amp_inter25
18p11.32,amp_old6,22q13.31,amp_new_6
19p13.12,amp_inter25,2p16.1,amp_new_7
19q12,amp_old8,5p11,amp_new_8
1p34.1,amp_old9,6p12.1,amp_new_9
20q13.13,amp_old10,7q22.1,amp_inter27
21q22.3,amp_old11,8q11.1,amp_inter26
22q11.22,amp_old12,9q34.3,amp_new_12
2p25.3,amp_old13,,
3q25.1,amp_old14,,
7q21.3,amp_inter27,,
7q36.3,amp_old16,,
8q11.1,amp_inter26,,
